"id"	"Music"	"Slow.songs.or.fast.songs"	"Dance"	"Folk"	"Country"	"Classical.music"	"Musical"	"Pop"	"Rock"	"Metal.or.Hardrock"	"Punk"	"Hiphop..Rap"	"Reggae..Ska"	"Swing..Jazz"	"Rock.n.roll"	"Alternative"	"Latino"	"Techno..Trance"	"Opera"	"Movies"	"Horror"	"Thriller"	"Comedy"	"Romantic"	"Sci.fi"	"War"	"Fantasy.Fairy.tales"	"Animated"	"Documentary"	"Western"	"Action"
"1"	5	3	2	1	2	2	1	5	5	1	1	1	1	1	3	1	1	1	1	5	4	2	5	4	4	1	5	5	3	1	2
"2"	4	4	2	1	1	1	2	3	5	4	4	1	3	1	4	4	2	1	1	5	2	2	4	3	4	1	3	5	4	1	4
"3"	5	5	2	2	3	4	5	3	5	3	4	1	4	3	5	5	5	1	3	5	3	4	4	2	4	2	5	5	2	2	1
"4"	5	3	2	1	1	1	1	2	2	1	4	2	2	1	2	5	1	2	1	5	4	4	3	3	4	3	1	2	5	1	2
"5"	5	3	4	3	2	4	3	5	3	1	2	5	3	2	1	2	4	2	2	5	4	4	5	2	3	3	4	4	3	1	4
"6"	5	3	2	3	2	3	3	2	5	5	3	4	3	4	4	5	3	1	3	5	5	5	5	2	3	3	4	3	3	2	4
"7"	5	5	5	3	1	2	2	5	3	1	1	3	1	1	2	3	3	5	2	4	2	1	5	3	1	3	5	5	3	1	2
"8"	5	3	3	2	1	2	2	4	5	1	2	3	2	2	3	1	2	3	2	5	4	4	5	2	3	3	4	4	3	1	3
"9"	5	3	3	1	1	2	4	3	5	5	1	1	2	2	2	3	1	1	1	5	1	5	5	4	4	5	4	4	5	1	1
"10"	5	3	2	5	2	2	5	3	5	2	3	2	4	4	4	4	5	1	2	5	2	1	5	5	1	3	4	4	4	1	2
"11"	5	3	3	2	1	2	3	4	3	2	1	3	2	2	3	3	3	4	2	5	5	4	5	3	3	2	5	5	3	1	3
"12"	5	3	1	1	1	4	1	2	5	1	1	1	1	2	2	5	2	1	2	5	3	4	4	3	2	5	5	5	5	1	4
"13"	5	3	1	2	1	4	3	3	5	4	2	3	1	1	4	3	2	1	2	5	1	5	4	3	1	4	5	3	3	1	1
"14"	5	3	5	3	2	1	5	5	2	1	1	2	1	3	2	1	3	1	1	5	3	2	5	5	2	1	5	4	2	1	3
"15"	5	3	2	1	1	2	3	4	5	2	5	3	4	4	4	4	1	1	1	4	1	3	5	4	1	1	5	5	3	1	4
"16"	1	3	2	2	3	4	3	3	5	5	5	2	4	2	3	3	2	1	2	5	5	5	5	3	3	5	4	4	5	2	4
"17"	5	3	3	1	1	1	2	4	4	1	3	2	3	2	3	1	1	4	1	5	3	3	5	3	2	2	2	2	4	1	2
"18"	5	3	3	3	3	2	2	4	4	2	3	3	4	3	3	1	2	1	3	5	4	2	5	5	5	2	4	4	5	1	3
"19"	5	3	5	4	3	4	5	5	4	4	3	4	4	4	4	4	4	4	3	5	2	4	5	4	5	5	4	4	5	5	5
"20"	5	4	3	3	2	4	2	2	4	5	2	1	4	5	4	3	4	3	2	3	1	4	4	2	3	5	4	4	5	2	5
"21"	5	3	3	2	3	4	3	2	5	5	4	4	3	5	4	5	3	3	4	5	5	5	5	3	3	4	3	3	3	2	4
"22"	5	5	1	1	3	2	2	2	5	5	4	1	2	1	4	3	2	1	2	5	5	5	5	2	5	3	3	4	5	2	5
"23"	5	3	3	2	3	3	3	4	4	1	2	2	1	1	3	2	3	3	2	5	2	3	5	4	4	2	4	5	5	3	3
"24"	5	3	4	2	2	2	4	4	5	2	3	3	3	3	3	1	4	1	1	5	2	4	5	5	4	3	5	5	3	2	2
"25"	5	2	3	1	1	4	3	3	5	5	5	1	1	1	2	3	2	3	4	5	4	2	5	5	2	2	2	2	3	1	4
"26"	5	3	4	2	1	2	3	5	1	1	1	3	1	2	1	1	4	2	1	5	1	2	5	5	1	1	4	3	3	1	1
"27"	5	5	5	5	4	5	3	4	4	3	2	2	1	3	5	3	5	2	2	5	3	2	5	4	2	5	5	5	5	2	1
"28"	4	5	3	4	1	3	2	2	4	2	4	2	4	2	3	4	3	4	2	5	2	4	3	4	5	3	2	4	5	2	5
"29"	5	3	5	1	1	1	1	3	4	1	3	5	2	1	4	3	2	3	1	5	3	3	5	3	1	5	4	4	3	4	4
"30"	5	4	3	4	2	3	3	3	4	1	3	3	4	3	4	3	4	3	2	5	3	2	5	5	2	4	5	5	4	2	2
"31"	4	3	4	3	3	3	3	4	4	2	2	4	3	4	3	3	3	3	3	5	2	5	4	3	4	4	3	3	4	3	5
"32"	4	3	4	1	3	2	3	5	3	1	1	3	3	2	1	1	5	1	2	4	1	1	5	5	2	2	5	5	4	1	1
"33"	5	5	3	1	3	2	3	3	4	3	4	4	2	2	4	4	2	3	1	5	5	5	5	5	2	3	5	5	3	2	4
"34"	5	4	2	2	3	4	5	4	3	1	1	1	3	4	4	3	2	1	5	4	3	4	4	3	1	3	5	4	5	2	3
"35"	5	4	3	2	1	3	4	4	5	3	4	2	3	3	4	4	2	1	1	5	2	3	5	4	4	2	2	5	3	1	5
"36"	5	3	3	3	1	4	5	5	3	1	1	4	3	1	3	3	5	1	1	5	1	2	5	5	3	4	1	1	1	1	5
"37"	5	3	1	3	2	3	4	4	4	1	1	1	1	1	1	1	1	1	4	5	3	5	4	4	4	4	5	5	3	1	5
"38"	5	5	1	1	1	5	1	2	3	5	2	1	2	2	2	1	1	1	1	4	3	2	5	2	3	4	2	2	4	3	4
"39"	5	5	5	3	1	5	2	5	4	1	2	4	5	2	2	1	3	4	4	5	1	4	5	5	3	3	5	5	5	2	5
"40"	5	3	3	3	2	2	3	5	5	4	4	1	2	1	5	2	1	2	2	4	5	5	5	5	3	4	5	5	4	2	3
"41"	4	3	4	1	1	1	1	5	1	1	1	3	2	1	1	1	2	3	1	5	1	5	5	3	2	1	2	2	4	1	5
"42"	5	4	5	5	5	5	1	1	4	5	1	5	5	5	5	5	5	5	1	3	1	5	5	1	5	5	1	1	5	5	5
"43"	5	5	2	2	2	3	4	5	5	4	4	3	3	3	3	4	3	3	1	5	4	4	5	5	5	3	5	5	4	3	5
"44"	5	4	3	1	1	2	2	5	4	1	2	3	2	2	2	4	3	3	1	5	1	1	5	4	3	2	5	5	3	1	4
"45"	4	4	4	2	1	3	3	4	4	1	1	3	1	3	3	4	5	4	3	5	3	4	5	4	3	1	5	4	4	1	3
"46"	5	4	5	2	2	4	3	5	4	1	2	3	3	3	5	1	4	3	4	5	5	4	5	2	4	1	2	1	5	2	2
"47"	5	3	4	3	4	1	5	5	5	3	2	5	2	3	5	4	5	2	2	5	5	5	5	3	5	1	3	2	1	1	5
"48"	5	3	3	1	1	2	3	4	4	2	2	1	3	3	3	4	3	2	3	5	3	3	4	2	2	3	3	5	2	1	5
