"id"	"Daily.events"	"Prioritising.workload"	"Writing.notes"	"Workaholism"	"Thinking.ahead"	"Final.judgement"	"Reliability"	"Keeping.promises"	"Loss.of.interest"	"Friends.versus.money"	"Funniness"	"Fake"	"Criminal.damage"	"Decision.making"	"Elections"	"Self.criticism"	"Judgment.calls"	"Hypochondria"	"Empathy"	"Eating.to.survive"	"Giving"	"Compassion.to.animals"	"Borrowed.stuff"	"Loneliness"	"Cheating.in.school"	"Health"	"Changing.the.past"	"God"	"Dreams"	"Charity"	"Number.of.friends"	"Waiting"	"New.environment"	"Mood.swings"	"Appearence.and.gestures"	"Socializing"	"Achievements"	"Responding.to.a.serious.letter"	"Children"	"Assertiveness"	"Getting.angry"	"Knowing.the.right.people"	"Public.speaking"	"Unpopularity"	"Life.struggles"	"Happiness.in.life"	"Energy.levels"	"Small...big.dogs"	"Personality"	"Finding.lost.valuables"	"Getting.up"	"Interests.or.hobbies"	"Parents..advice"	"Questionnaires.or.polls"
"1"	    2	2	5	4	2	5	4	4	1	3	5	1	1	3	4	1	3	1	3	1	4	5	4	3	2	1	1	1	4	2	3	3	4	3	4	3	4	3	5	1	1	3	5	5	1	4	5	1	4	3	2	3	4	3
"2"	    3	2	4	5	4	1	4	4	3	4	3	2	1	2	5	4	4	1	2	1	2	4	3	2	4	4	4	1	3	1	3	3	4	4	4	4	2	4	2	2	5	4	4	4	1	4	3	5	3	4	5	3	2	3
"3"	    1	2	5	3	5	3	4	5	1	5	2	4	1	3	5	4	4	1	5	5	5	4	2	5	3	2	5	5	1	3	3	2	3	4	3	5	3	4	4	3	4	3	2	4	4	4	4	3	3	3	4	5	3	1
"4"	    4	4	4	5	3	1	3	4	5	2	1	1	5	5	5	5	4	3	3	1	1	2	5	5	5	1	5	4	3	3	1	1	1	5	3	1	3	3	2	5	5	4	5	3	3	2	2	1	2	1	1	4	2	4
"5"	    3	1	2	3	5	5	5	4	2	3	3	2	1	3	5	5	5	1	3	1	3	3	4	3	5	3	4	5	3	3	3	3	4	2	3	3	3	3	5	4	2	3	5	5	2	3	5	3	3	2	4	3	3	3
"6"	    2	2	3	3	3	1	3	4	3	2	3	1	4	2	5	4	4	1	4	2	3	5	5	2	4	3	3	3	3	2	3	3	4	3	3	4	2	2	3	4	3	4	4	4	3	3	4	4	3	3	3	5	3	4
"7"	    3	5	5	5	3	3	4	5	3	4	4	1	2	2	5	3	5	1	4	1	5	5	5	3	2	3	1	5	3	3	3	4	5	5	4	5	4	3	2	3	3	4	3	3	5	5	4	3	3	2	2	4	4	5
"8"	    3	1	3	2	4	3	3	3	1	4	4	2	1	3	5	3	5	2	1	2	3	5	2	2	5	3	2	4	4	1	4	1	4	3	4	2	4	3	4	3	1	4	5	2	2	4	4	3	4	2	5	4	3	3
"9"	    1	2	1	4	2	5	5	4	1	4	2	2	1	4	1	3	2	2	5	1	1	4	5	4	5	4	5	5	4	1	2	2	2	3	4	4	2	2	4	1	3	3	4	5	4	3	1	5	3	5	5	1	4	3
"10"	4	2	2	3	3	5	4	5	3	4	3	1	2	5	5	4	5	1	4	1	4	5	4	2	3	4	2	5	3	2	3	1	4	4	3	4	4	4	3	4	3	4	5	3	5	4	4	1	3	3	4	3	3	3
"11"	3	2	4	2	3	3	4	4	1	3	2	1	1	5	5	4	5	2	5	2	3	5	4	2	3	3	3	4	3	1	3	3	3	3	4	3	3	4	5	2	1	3	3	3	5	4	3	2	3	2	4	3	4	4
"12"	3	1	5	3	1	1	3	3	3	3	5	3	5	3	1	5	3	5	5	1	1	2	2	4	5	2	3	1	3	3	4	3	5	5	2	5	3	3	5	4	3	5	5	2	4	3	3	1	3	3	5	4	4	4
"13"	4	3	5	4	5	1	5	5	4	4	3	1	2	5	5	5	2	5	5	3	2	5	5	5	2	5	3	1	3	2	3	2	1	4	4	2	3	4	5	5	5	3	3	2	5	4	3	4	3	1	3	2	4	2
"14"	5	3	3	2	3	3	5	4	3	3	3	2	2	5	3	5	5	1	4	2	3	5	5	2	3	3	2	3	4	1	3	3	2	3	5	3	4	3	3	2	3	4	5	3	4	4	4	5	4	2	5	5	3	2
"15"	4	5	5	2	5	5	5	4	1	5	4	1	4	5	5	5	5	5	5	1	5	5	4	2	1	5	1	5	4	3	5	3	1	4	4	1	4	5	5	1	4	2	3	3	5	5	4	1	4	3	1	2	4	3
"16"	2	3	3	5	3	1	5	4	5	3	5	1	5	3	5	5	4	1	4	5	3	5	5	4	5	2	5	1	3	1	3	1	2	5	3	2	3	4	4	5	5	4	3	3	4	2	4	5	3	2	3	3	4	4
"17"	2	3	2	5	5	5	2	3	5	4	5	3	3	5	2	3	4	1	5	3	3	5	2	2	5	3	5	4	3	1	4	3	4	3	4	3	3	2	2	3	3	4	4	3	4	4	4	2	3	2	4	4	3	1
"18"	4	2	5	3	4	5	5	3	2	2	3	5	5	2	5	4	5	2	3	5	3	5	3	4	2	4	5	2	2	2	2	2	5	5	4	4	4	5	4	3	5	2	3	4	5	2	2	3	2	2	2	4	1	3
"19"	2	4	3	4	5	3	4	5	3	5	3	2	1	3	1	2	5	1	4	3	1	2	5	4	4	3	4	5	3	1	2	3	4	3	4	3	2	4	3	3	1	5	5	3	1	3	3	4	3	2	2	4	3	2
"20"	3	1	1	1	4	1	4	5	3	4	3	1	3	4	3	3	5	1	5	2	1	1	5	2	5	3	3	1	4	1	4	2	4	4	3	2	2	4	3	1	2	4	3	2	1	4	3	4	5	1	5	4	2	3
"21"	3	2	3	3	2	1	2	4	2	1	3	1	4	2	5	4	3	1	3	2	4	5	5	2	4	3	3	3	4	2	3	3	4	3	3	4	3	4	3	3	3	4	3	3	4	3	4	4	3	4	3	5	3	4
"22"	4	1	1	3	2	1	4	4	2	3	4	2	3	1	5	3	2	1	1	1	2	5	3	4	5	1	1	3	4	1	3	3	5	2	3	3	4	2	5	5	4	5	1	5	2	4	5	5	3	1	5	5	3	4
"23"	2	3	1	2	3	5	4	3	1	3	3	3	1	5	5	1	3	2	4	3	3	5	4	3	3	3	3	5	3	2	2	4	3	3	3	3	2	4	5	3	1	2	3	3	4	3	4	3	4	2	4	3	3	2
"24"	3	1	4	2	3	3	4	4	2	3	4	3	1	4	5	5	5	1	3	1	2	5	3	3	5	4	4	2	4	2	3	3	2	4	3	2	2	4	4	1	4	4	3	4	4	4	2	3	4	5	5	3	2	4
"25"	5	2	5	4	5	2	3	5	1	5	2	2	5	3	5	4	5	2	5	2	3	5	5	4	5	5	5	4	2	3	2	1	2	4	5	4	3	1	5	5	5	5	5	5	5	2	4	1	3	4	5	5	4	5
"26"	3	3	5	2	4	1	5	4	5	4	3	2	1	5	2	5	3	1	3	1	3	4	4	2	4	3	5	2	4	1	4	2	3	4	4	2	2	2	4	4	4	3	4	4	5	4	3	1	3	2	2	2	4	3
"27"	3	4	4	4	5	4	4	4	3	5	5	2	1	4	5	5	4	2	4	3	4	5	5	4	5	2	3	5	4	3	4	4	4	4	3	3	3	3	5	4	2	4	5	3	4	4	3	5	4	3	4	5	5	4
"28"	3	3	3	4	3	3	4	2	2	4	3	1	1	1	2	3	3	1	4	3	3	5	4	3	2	4	2	4	4	2	3	3	3	3	2	3	3	4	4	2	2	4	4	2	3	3	3	1	3	3	1	3	4	2
"29"	4	3	4	3	4	2	4	4	4	2	4	2	5	2	3	2	5	2	5	1	4	3	4	3	5	3	1	2	4	2	5	3	5	2	5	4	2	4	4	5	1	5	4	4	1	5	5	5	5	2	5	5	3	1
"30"	4	5	5	5	5	2	3	4	2	5	4	2	2	4	3	5	4	2	5	1	4	5	5	3	5	4	3	4	3	2	4	3	3	4	5	4	3	4	4	4	4	4	5	5	5	4	4	2	4	3	4	4	3	3
"31"	1	2	2	1	3	3	4	4	5	5	4	2	5	3	1	3	3	1	2	2	4	4	4	2	5	4	3	5	3	2	4	2	3	3	4	3	3	5	3	4	3	3	3	5	3	4	3	3	3	2	3	4	3	3
"32"	3	3	4	3	4	4	4	5	2	3	1	2	1	4	4	2	3	1	5	2	3	4	5	2	3	2	3	5	3	2	3	3	3	4	3	3	2	1	4	4	3	3	4	3	4	4	4	3	3	3	3	3	3	2
"33"	3	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	5	1	5	1	1	5	5	1	5	1	1	3	3	1	5	2	5	2	2	4	2	3	3	4	1	3	4	3	3	4	5	1	4	1	5	5	3	3
"34"	5	2	2	3	1	1	5	5	2	4	4	2	2	1	5	5	5	2	4	2	3	4	5	3	4	2	1	1	4	4	4	3	5	3	3	3	5	1	4	5	2	5	4	5	4	5	5	2	3	4	1	5	4	2
"35"	5	3	1	5	3	5	4	4	4	5	5	1	1	3	5	4	3	1	2	2	3	1	3	2	2	2	4	5	4	4	4	4	3	2	3	4	3	3	3	4	1	4	4	4	1	3	5	3	3	5	2	3	2	2
"36"	3	2	1	1	2	1	5	3	2	3	4	1	1	3	5	1	5	1	4	2	5	5	4	3	5	3	1	5	4	1	3	1	5	2	3	2	3	5	3	3	2	3	5	3	3	5	5	3	3	3	5	2	3	1
"37"	3	3	3	3	4	3	5	5	4	5	2	4	1	3	3	4	4	1	5	4	3	5	5	2	4	3	1	1	4	4	2	2	3	4	4	1	3	4	5	2	3	1	5	2	4	4	3	3	4	3	2	3	5	4
"38"	5	2	2	2	4	2	5	4	5	5	5	1	5	4	3	3	5	1	5	3	5	5	5	3	3	3	3	1	3	1	1	1	2	5	3	1	3	5	2	3	2	3	3	1	1	4	5	5	3	5	3	5	3	3
"39"	3	1	5	3	5	3	4	5	1	4	2	2	1	4	5	3	5	1	5	5	3	5	5	4	4	3	3	5	3	1	2	3	4	3	5	1	1	4	5	1	2	1	5	3	4	3	1	2	4	5	4	2	4	3
"40"	2	5	1	3	3	3	4	4	3	3	5	3	1	3	1	4	2	5	3	1	1	4	5	4	3	3	5	3	3	1	1	2	3	4	4	3	3	2	3	3	3	4	5	5	5	3	5	3	4	2	2	5	3	4
"41"	4	1	1	2	4	3	5	3	4	2	3	3	3	2	1	3	4	3	3	1	4	4	3	3	3	3	3	2	4	3	3	3	4	2	4	1	2	2	1	5	5	3	3	2	3	3	3	1	3	2	2	1	1	3
