"id"	"Flying"	"Storm"	"Darkness"	"Heights"	"Spiders"	"Snakes"	"Rats"	"Ageing"	"Dangerous.dogs"	"Fear.of.public.speaking"
"1"	1	1	1	1	1	5	3	1	3	2
"2"	1	1	1	2	1	1	1	3	1	4
"3"	1	1	1	1	1	1	1	1	1	2
"4"	2	1	1	3	5	5	5	4	5	5
"5"	1	2	1	1	1	1	2	2	4	3
"6"	3	2	2	2	1	2	2	1	1	3
"7"	1	3	2	1	1	5	1	4	1	1
"8"	3	2	4	3	1	5	3	1	2	4
"9"	2	3	1	5	5	5	2	2	3	4
"10"	4	5	4	5	3	4	4	3	5	3
"11"	1	1	2	2	2	1	1	1	4	2
"12"	4	1	1	3	5	5	5	5	5	5
"13"	1	1	1	1	1	3	1	5	2	2
"14"	2	3	3	4	3	4	3	2	1	3
"15"	5	5	3	3	2	5	1	5	5	3
"16"	5	1	1	1	1	1	1	1	1	2
"17"	1	3	5	4	5	3	1	2	5	4
"18"	3	5	5	5	4	4	1	5	5	3
"19"	1	1	1	1	1	1	1	1	1	2
"20"	3	2	2	4	4	2	2	2	2	3
"21"	2	2	2	2	2	2	2	1	1	2
"22"	1	1	1	1	1	1	1	1	1	1
"23"	1	2	1	1	5	5	3	1	3	3
"24"	2	4	5	3	3	3	2	3	3	3
"25"	1	1	2	1	5	5	4	5	5	5
"26"	3	2	2	3	5	2	1	4	4	2
"27"	1	1	1	1	1	2	1	2	2	3
"28"	3	5	2	2	5	5	1	4	1	2
"29"	1	1	2	4	4	4	3	4	1	2
"30"	3	3	4	5	5	5	5	5	5	3
"31"	1	1	1	3	5	3	3	4	3	4
"32"	1	1	1	1	2	5	3	1	3	2
"33"	3	5	5	5	5	5	5	1	5	2
"34"	1	5	2	4	4	5	3	1	2	4
"35"	1	2	2	1	2	2	2	1	2	3
"36"	3	5	3	3	4	5	4	5	5	1
"37"	3	1	4	3	5	4	1	3	2	5
"38"	1	1	1	3	3	1	1	3	3	2
"39"	3	4	2	4	5	1	1	1	3	2
"40"	3	3	2	2	5	5	5	3	4	4
"41"	1	3	5	3	5	2	5	3	5	3
"42"	2	1	1	1	1	1	1	1	1	2
"43"	1	1	3	1	5	1	1	1	3	5
"44"	1	3	4	5	5	5	3	2	4	1
"45"	3	2	4	5	5	5	3	3	5	3
"46"	5	2	2	5	5	4	1	5	4	4
"47"	1	1	1	1	1	2	1	1	2	1
"48"	1	2	1	3	1	3	5	3	4	4
"49"	3	1	2	2	2	3	3	5	3	1
"50"	3	1	5	4	5	3	2	3	2	5
"51"	1	2	1	2	2	2	4	2	5	4
"52"	3	1	3	1	5	1	1	1	2	2
"53"	3	3	5	4	5	5	4	3	1	3
"54"	3	1	1	1	5	1	3	1	3	5
"55"	3	2	5	5	3	5	4	1	5	2
"56"	2	2	5	3	5	5	5	3	5	4
"57"	3	1	5	3	3	5	1	5	1	3
"58"	2	2	2	2	5	3	3	4	4	5
"59"	1	1	2	5	1	5	3	5	4	3
"60"	5	1	1	4	2	3	1	1	2	5
"61"	1	1	1	2	2	3	2	2	3	5
"62"	1	1	1	3	3	4	4	4	4	2
"63"	5	5	5	5	5	5	5	5	5	4
"64"	3	2	2	4	3	4	3	2	3	3
"65"	1	2	5	3	5	1	3	5	4	3
"66"	1	1	2	2	1	2	1	4	2	4
"67"	3	2	3	5	1	3	2	1	1	3
"68"	1	1	2	4	1	3	2	2	5	2
"69"	3	5	2	2	4	5	3	1	3	5
"70"	2	5	1	1	1	5	5	1	5	3
"71"	2	2	2	2	4	3	3	3	4	3
"72"	1	1	1	4	3	4	3	5	5	1
"73"	1	3	3	3	5	5	4	3	4	4
"74"	5	2	1	3	3	3	3	5	3	5
"75"	5	5	1	4	3	4	3	3	5	2
"76"	2	1	2	5	1	2	1	1	2	1
"77"	2	3	2	3	1	5	2	1	3	3
"78"	1	1	1	3	5	5	2	2	5	3
"79"	1	1	1	1	3	3	3	5	3	4
"80"	2	3	2	4	5	5	5	2	3	4
"81"	2	1	4	2	3	4	3	1	3	4
"82"	1	1	2	2	1	1	1	1	4	1
"83"	2	1	5	2	3	4	1	1	3	5
"84"	3	4	5	3	5	4	4	3	3	3
"85"	1	1	1	3	3	1	1	1	1	4
"86"	2	3	4	5	2	4	4	1	4	3
"87"	4	4	4	4	2	2	3	3	1	5
"88"	1	2	2	1	3	3	3	5	3	2
"89"	5	2	2	4	5	1	2	1	5	5
"90"	3	3	2	3	2	3	5	4	5	3
"91"	2	3	1	3	5	3	1	5	4	3
"92"	1	3	1	1	5	5	5	5	5	1
"93"	2	1	2	1	1	2	1	1	2	2
"94"	5	4	2	4	2	1	2	1	1	1
"95"	1	1	1	4	2	1	1	1	1	3
"96"	1	2	2	1	4	4	4	4	5	2
"97"	1	1	1	2	4	1	1	1	5	5
"98"	1	1	2	3	2	4	1	1	1	2
"99"	1	1	1	3	5	1	1	3	3	1
"100"	2	2	3	3	5	2	1	2	2	4
"101"	3	4	3	5	4	3	3	1	5	3
"102"	2	1	1	2	5	5	3	1	3	3
"103"	1	2	4	1	1	1	4	2	1	3
"104"	1	1	1	1	4	4	1	4	2	1
"105"	1	1	1	3	1	1	1	1	1	1
"106"	1	2	1	2	1	4	2	1	2	2
"107"	2	1	1	1	2	2	2	3	2	3
"108"	4	2	5	1	1	1	3	1	3	1
"109"	1	1	2	4	5	3	2	5	4	2
"110"	3	1	3	2	1	4	4	1	3	4
"111"	1	1	2	4	4	4	1	2	1	2
"112"	2	2	2	3	5	4	5	1	5	5
"113"	2	4	3	1	4	4	1	2	3	3
"114"	1	1	3	2	3	3	3	1	1	1
"115"	1	1	2	2	5	5	1	3	5	5
"116"	1	1	4	5	5	5	3	5	5	2
"117"	4	2	5	5	5	5	1	3	5	4
"118"	3	1	2	4	3	5	3	2	2	4
"119"	2	1	1	1	2	1	1	2	1	3
"120"	4	2	1	2	2	4	1	1	2	3
"121"	1	1	2	1	1	4	4	1	1	2
"122"	1	1	1	2	1	2	3	2	3	3
"123"	4	2	1	2	2	4	3	2	2	2
"124"	2	2	1	1	1	1	1	3	2	4
"125"	1	1	1	2	1	1	1	1	2	1
"126"	3	2	2	2	4	3	2	4	4	3
"127"	4	3	5	4	1	4	4	4	5	3
"128"	1	2	2	2	2	2	2	4	2	2
"129"	1	1	1	3	1	1	1	5	5	5
"130"	2	4	4	2	2	1	2	3	1	3
"131"	1	1	3	1	4	4	5	5	4	3
"132"	1	2	3	4	2	2	3	1	4	2
"133"	1	1	2	1	5	3	5	3	1	4
"134"	3	3	5	4	4	4	2	2	3	2
"135"	3	3	3	3	5	3	1	5	5	5
"136"	4	4	5	5	5	2	1	3	1	1
"137"	1	1	2	4	5	3	1	1	3	2
"138"	5	2	2	2	3	4	1	2	4	2
"139"	1	1	1	1	1	2	2	1	4	3
"140"	4	4	4	4	3	5	5	4	5	2
"141"	2	2	2	5	2	4	3	2	4	3
"142"	1	2	4	5	1	3	1	5	3	1
"143"	3	3	1	4	4	4	4	4	5	3
