"id"	"Age"	"Gender"	"Only.child"	"Education"
"1"     20	"female"	"no"	"college/bachelor degree"
"2"	    19	"female"	"no"	"college/bachelor degree"
"3"	    20	"female"	"no"	"secondary school"
"4"	    22	"female"	"yes"	"college/bachelor degree"
"5"	    20	"female"	"no"	"secondary school"
"6"	    20	"male"	"no"	"secondary school"
"7"	    20	"female"	"no"	"secondary school"
"8"	    19	"male"	"no"	"college/bachelor degree"
"9"	    18	"female"	"no"	"secondary school"
"10"	19	"female"	"no"	"secondary school"
"11"	19	"female"	"no"	"secondary school"
"12"	17	"female"	"no"	"primary school"
"13"	24	"female"	"no"	"college/bachelor degree"
"14"	19	"female"	"no"	"secondary school"
"15"	22	"female"	"no"	"college/bachelor degree"
"16"	18	"male"	"yes"	"secondary school"
"17"	19	"female"	"no"	"college/bachelor degree"
"18"	20	"female"	"no"	"secondary school"
"19"	18	"male"	"no"	"secondary school"
"20"	18	"male"	"no"	"secondary school"
"21"	20	"male"	"no"	"secondary school"
"22"	24	"male"	"no"	"secondary school"
"23"	22	"female"	"no"	"college/bachelor degree"
"24"	20	"female"	"no"	"secondary school"
"25"	19	"female"	"no"	"secondary school"
"26"	20	"female"	"yes"	"secondary school"
"27"	22	"female"	"no"	"college/bachelor degree"
"28"	19	"female"	"no"	"secondary school"
"29"	20	"male"	"yes"	"secondary school"
"30"	19	"female"	"no"	"secondary school"
"31"	25	"male"	"no"	"secondary school"
"32"	22	"female"	"no"	"secondary school"
"33"	20	"female"	"no"	"secondary school"
"34"	27	"female"	"no"	"masters degree"
"35"	20	"male"	"no"	"college/bachelor degree"
"36"	19	"female"	"no"	"secondary school"
"37"	18	"female"	"no"	"secondary school"
"38"	21	"male"	"no"	"secondary school"
"39"	23	"female"	"no"	"secondary school"
"40"	21	"female"	"no"	"secondary school"
"41"	26	"female"	"no"	"secondary school"
"42"	20	"male"	"no"	"college/bachelor degree"
"43"	19	"female"	"yes"	"secondary school"
"44"	20	"female"	"no"	"college/bachelor degree"
"45"	25	"female"	"no"	"masters degree"
"46"	27	"male"	"no"	"masters degree"
"47"	21	"female"	"no"	"college/bachelor degree"
"48"	19	"female"	"yes"	"secondary school"
"49"	20	"female"	"yes"	"secondary school"
"50"	20	"female"	"no"	"primary school"
"51"	19	"female"	"no"	"college/bachelor degree"
"52"	19	"female"	"no"	"secondary school"
