description,feature name,category,type
I enjoy listening to music.,Music,music_preference,numeric
I prefer.,Slow songs or fast songs,music_preference,numeric
"Dance, Disco, Funk",Dance,music_preference,numeric
Folk music,Folk,music_preference,numeric
Country,Country,music_preference,numeric
Classical,Classical music,music_preference,numeric
Musicals,Musical,music_preference,numeric
Pop,Pop,music_preference,numeric
Rock,Rock,music_preference,numeric
"Metal, Hard rock",Metal or Hardrock,music_preference,numeric
Punk,Punk,music_preference,numeric
"Hip hop, Rap","Hiphop, Rap",music_preference,numeric
"Reggae, Ska","Reggae, Ska",music_preference,numeric
"Swing, Jazz","Swing, Jazz",music_preference,numeric
Rock n Roll,Rock n roll,music_preference,numeric
Alternative music,Alternative,music_preference,numeric
Latin,Latino,music_preference,numeric
"Techno, Trance","Techno, Trance",music_preference,numeric
Opera,Opera,movie_preference,numeric
I really enjoy watching movies.,Movies,movie_preference,numeric
Horror movies,Horror,movie_preference,numeric
Thriller movies,Thriller,movie_preference,numeric
Comedies,Comedy,movie_preference,numeric
Romantic movies,Romantic,movie_preference,numeric
Sci-fi movies,Sci-fi,movie_preference,numeric
War movies,War,movie_preference,numeric
Tales,Fantasy/Fairy tales,movie_preference,numeric
Cartoons,Animated,movie_preference,numeric
Documentaries,Documentary,movie_preference,numeric
Western movies,Western,movie_preference,numeric
Action movies,Action,movie_preference,numeric
History,History,hobbies_interests,numeric
Psychology,Psychology,hobbies_interests,numeric
Politics,Politics,hobbies_interests,numeric
Mathematics,Mathematics,hobbies_interests,numeric
Physics,Physics,hobbies_interests,numeric
Internet,Internet,hobbies_interests,numeric
"PC Software, Hardware",PC,hobbies_interests,numeric
"Economy, Management",Economy Management,hobbies_interests,numeric
Biology,Biology,hobbies_interests,numeric
Chemistry,Chemistry,hobbies_interests,numeric
Poetry reading,Reading,hobbies_interests,numeric
Geography,Geography,hobbies_interests,numeric
Foreign languages,Foreign languages,hobbies_interests,numeric
Medicine,Medicine,hobbies_interests,numeric
Law,Law,hobbies_interests,numeric
Cars,Cars,hobbies_interests,numeric
Art,Art exhibitions,hobbies_interests,numeric
Religion,Religion,hobbies_interests,numeric
Outdoor activities,"Countryside, outdoors",hobbies_interests,numeric
Dancing,Dancing,hobbies_interests,numeric
Playing musical instruments,Musical instruments,hobbies_interests,numeric
Poetry writing,Writing,hobbies_interests,numeric
Sport and leisure activities,Passive sport,hobbies_interests,numeric
Sport at competitive level,Active sport,hobbies_interests,numeric
Gardening,Gardening,hobbies_interests,numeric
Celebrity lifestyle,Celebrities,hobbies_interests,numeric
Shopping,Shopping,hobbies_interests,numeric
Science and technology,Science and technology,hobbies_interests,numeric
Theatre,Theatre,hobbies_interests,numeric
Socializing,Fun with friends,hobbies_interests,numeric
Adrenaline sports,Adrenaline sports,hobbies_interests,numeric
Pets,Pets,hobbies_interests,numeric
Flying,Flying,phobias,numeric
"Thunder, lightning",Storm,phobias,numeric
Darkness,Darkness,phobias,numeric
Heights,Heights,phobias,numeric
Spiders,Spiders,phobias,numeric
Snakes,Snakes,phobias,numeric
"Rats, mice",Rats,phobias,numeric
Ageing,Ageing,phobias,numeric
Dangerous dogs,Dangerous dogs,phobias,numeric
Public speaking,Fear of public speaking,phobias,numeric
I take notice of what goes on around me.,Daily events,personality_viewsOnLife_opinions,numeric
I try to do tasks as soon as possible and not leave them until last minute.,Prioritising workload,personality_viewsOnLife_opinions,numeric
I always make a list so I don't forget anything.,Writing notes,personality_viewsOnLife_opinions,numeric
I often study or work even in my spare time.,Workaholism,personality_viewsOnLife_opinions,numeric
I look at things from all different angles before I go ahead.,Thinking ahead,personality_viewsOnLife_opinions,numeric
I believe that bad people will suffer one day and good people will be rewarded.,Final judgement,personality_viewsOnLife_opinions,numeric
I am reliable at work and always complete all tasks given to me.,Reliability,personality_viewsOnLife_opinions,numeric
I always keep my promises.,Keeping promises,personality_viewsOnLife_opinions,numeric
I can fall for someone very quickly and then completely lose interest.,Loss of interest,personality_viewsOnLife_opinions,numeric
I would rather have lots of friends than lots of money.,Friends versus money,personality_viewsOnLife_opinions,numeric
I always try to be the funniest one.,Funniness,personality_viewsOnLife_opinions,numeric
I can be two faced sometimes.,Fake,personality_viewsOnLife_opinions,numeric
I damaged things in the past when angry.,Criminal damage,personality_viewsOnLife_opinions,numeric
I take my time to make decisions.,Decision making,personality_viewsOnLife_opinions,numeric
I always try to vote in elections.,Elections,personality_viewsOnLife_opinions,numeric
I often think about and regret the decisions I make.,Self-criticism,personality_viewsOnLife_opinions,numeric
I can tell if people listen to me or not when I talk to them.,Judgment calls,personality_viewsOnLife_opinions,numeric
I am a hypochondriac.,Hypochondria,personality_viewsOnLife_opinions,numeric
I am emphatetic person.,Empathy,personality_viewsOnLife_opinions,numeric
